user_id,country,topic_category,account_created_date,followers_count,following_count,likes_count,shares_count,posts_count,verified
1602,UK,finance,11-01-2025 05:53,91111,2403,421,239,612,Y
6068,India,finance,19-01-2025 16:27,21894,3755,900,366,,N
7287,India,tech,01-01-2025 09:15,95391,714,961,331,161,N
3022,Germany,politics,16-01-2025 07:22,1982,,730,48,71,Y
3227,Canada,finance,06-01-2025 04:21,53610,4362,620,466,133,N
,India,tech,14-01-2025 05:02,41937,4061,1194,24,,Y
7377,Germany,tech,02-01-2025 20:40,20004,4447,1359,280,380,N
3004,Canada,finance,19-01-2025 19:21,63847,951,756,51,28,N
2779,India,sports,23-01-2025 09:32,51827,3658,190,226,154,N
7607,,politics,03-01-2025 01:15,85209,826,66,309,542,N
8542,UK,politics,05-01-2025 00:55,72824,3486,773,122,287,Y
3012,Canada,tech,20-01-2025 10:56,8307,3928,1190,51,652,Y
2333,USA,sports,23-01-2025 15:57,33882,275,1339,224,546,N
8836,India,politics,12-01-2025 00:26,10517,,1250,,600,Y
3737,UK,politics,18-01-2025 21:20,96642,2333,1857,467,805,N
5436,Germany,politics,12-01-2025 09:25,67843,1854,997,110,741,
5223,UK,politics,07-01-2025 09:18,,2245,1192,384,995,N
8835,India,finance,11-01-2025 18:52,52278,,944,208,481,N
3772,India,finance,02-01-2025 10:05,19147,356,,399,476,N
6839,Canada,sports,14-01-2025 17:48,98677,3567,423,419,181,Y
6657,India,,08-01-2025 18:57,1725,4168,1375,187,531,N
2931,India,tech,05-01-2025 07:03,3740,1975,1591,486,997,N
3634,India,finance,20-01-2025 15:00,11545,875,1440,428,493,Y
,Germany,politics,12-01-2025 01:15,91518,439,1685,30,277,N
5451,Canada,politics,18-01-2025 08:03,40150,4524,1742,427,553,Y
3108,,sports,14-01-2025 07:23,,2492,1021,131,813,Y
2309,UK,sports,13-01-2025 05:16,87418,2371,1360,111,897,
9851,Canada,sports,16-01-2025 21:43,50326,143,151,293,762,N
6918,Germany,tech,21-01-2025 18:15,75039,4590,1629,24,656,
9302,UK,tech,12-01-2025 17:24,60061,2334,1885,283,114,Y
2466,UK,finance,17-01-2025 16:49,61595,1519,539,272,,Y
1216,UK,politics,02-01-2025 00:16,77689,3950,608,269,731,
7995,UK,tech,17-01-2025 05:36,90462,222,1421,,692,Y
3868,India,tech,20-01-2025 01:12,87786,4111,1372,,866,N
3933,Canada,,03-01-2025 14:57,4519,2012,1680,489,367,Y
1920,India,finance,,57938,82,505,227,254,Y
5197,,sports,19-01-2025 09:59,1441,414,1355,326,125,Y
6128,UK,politics,23-01-2025 21:40,82839,3402,1413,57,508,Y
,Germany,sports,14-01-2025 20:55,80453,1112,1815,294,656,Y
9153,UK,tech,20-01-2025 17:12,94792,1712,388,80,351,
6507,USA,finance,13-01-2025 06:29,63670,1058,1720,198,,N
2990,Canada,tech,08-01-2025 20:02,25715,605,971,254,430,N
7498,Canada,politics,13-01-2025 15:20,43935,2556,1387,341,931,Y
9935,Germany,finance,02-01-2025 05:30,21159,2454,,,598,Y
5350,Canada,finance,16-01-2025 04:15,85099,4731,694,322,468,N
7171,USA,tech,01-01-2025 01:24,31557,694,,203,552,Y
6504,Canada,finance,08-01-2025 08:04,10812,4861,1521,312,558,Y
,Germany,tech,05-01-2025 22:09,7148,2718,527,488,28,Y
9776,UK,tech,06-01-2025 11:30,19524,3630,372,38,263,Y
9402,USA,finance,02-01-2025 14:25,69529,4875,384,252,821,N
8971,USA,politics,08-01-2025 20:31,51981,1597,1691,398,898,Y
8005,UK,politics,11-01-2025 22:33,11239,1678,274,365,978,Y
4660,UK,tech,17-01-2025 19:03,96161,3911,1808,488,799,N
7655,UK,politics,20-01-2025 01:09,64996,1286,1676,439,54,N
,,tech,06-01-2025 02:12,59386,2243,870,405,767,Y
6599,UK,politics,19-01-2025 22:12,58243,4792,203,193,6,Y
2119,India,,03-01-2025 11:08,27827,3658,776,8,846,Y
2057,USA,tech,07-01-2025 00:21,84163,892,1397,307,956,Y
6076,Germany,politics,04-01-2025 17:11,78944,1281,1520,318,614,Y
1107,USA,sports,04-01-2025 00:55,94809,2989,1470,234,435,N
4126,UK,politics,01-01-2025 22:02,28050,2715,1596,230,692,Y
,UK,politics,13-01-2025 22:29,26012,1941,1751,324,368,N
1783,Canada,finance,11-01-2025 00:46,5092,2504,1258,416,263,Y
2511,Canada,politics,11-01-2025 16:24,9654,,85,345,893,Y
7720,Germany,sports,15-01-2025 11:51,33051,2845,338,166,30,Y
5109,USA,politics,13-01-2025 17:40,13552,4158,618,13,464,
5925,India,finance,10-01-2025 06:03,73247,2192,1668,206,368,Y
8343,USA,politics,19-01-2025 12:49,27186,4801,1807,161,,N
2683,Canada,tech,07-01-2025 18:03,79867,2127,1959,440,459,N
8488,Germany,tech,09-01-2025 20:13,,1390,1650,207,751,N
8228,USA,tech,02-01-2025 03:16,,3516,19,410,693,N
8799,India,tech,01-01-2025 18:29,76495,2815,1252,266,418,N
5671,USA,politics,10-01-2025 09:29,59077,550,1952,316,685,Y
3538,India,tech,02-01-2025 17:33,92421,1406,237,445,45,N
2856,Germany,sports,16-01-2025 19:23,55912,1360,1075,204,585,Y
3751,Canada,finance,16-01-2025 18:42,20021,1756,1858,448,341,Y
8882,UK,sports,19-01-2025 06:55,38114,522,919,487,737,Y
9810,USA,finance,11-01-2025 04:51,7541,513,70,246,270,N
7380,Canada,sports,09-01-2025 00:40,56593,1946,1312,344,,N
5411,USA,finance,15-01-2025 18:48,6808,2450,50,180,623,Y
6136,UK,sports,23-01-2025 10:20,84469,,570,234,953,Y
9881,USA,sports,13-01-2025 18:56,57615,2088,1755,253,353,N
6472,UK,tech,22-01-2025 02:52,28210,458,542,243,123,N
,USA,tech,08-01-2025 06:48,,4908,1514,,121,N
6460,USA,politics,16-01-2025 23:38,93290,1706,1500,315,29,Y
,USA,sports,15-01-2025 01:37,25803,1187,728,331,600,N
3181,USA,,21-01-2025 22:56,7095,2748,1593,246,233,
7816,India,sports,21-01-2025 18:54,83955,564,891,275,694,Y
3977,India,tech,20-01-2025 17:17,38720,4015,208,364,407,Y
6734,Canada,tech,17-01-2025 17:20,42892,823,817,289,317,Y
9487,UK,sports,06-01-2025 15:53,4220,,1723,170,83,Y
6333,India,tech,15-01-2025 18:52,48076,3419,699,414,27,Y
7019,India,sports,20-01-2025 01:59,32709,383,48,0,456,N
7157,,tech,17-01-2025 15:10,54819,1311,182,427,344,Y
5482,Germany,politics,01-01-2025 12:35,77451,1275,755,387,288,
8203,India,tech,09-01-2025 23:47,67376,2519,1738,,791,Y
8397,Canada,tech,20-01-2025 16:29,41148,3295,1414,222,54,N
4432,Germany,sports,04-01-2025 05:43,30217,1801,277,266,653,Y
1801,Germany,politics,21-01-2025 16:50,74729,2111,1823,499,166,Y
9393,Canada,politics,11-01-2025 06:30,66680,1659,891,360,142,Y
6099,India,sports,18-01-2025 16:38,16669,4491,1969,254,6,N
2490,UK,tech,09-01-2025 02:02,80969,3634,1215,457,,Y
,USA,sports,17-01-2025 18:13,40894,3794,732,272,747,N
5033,Germany,sports,15-01-2025 09:45,85675,,750,258,170,Y
3386,Germany,finance,03-01-2025 06:47,65994,1647,,160,91,N
6595,Germany,tech,03-01-2025 20:19,17319,129,1643,440,858,N
1391,Canada,sports,21-01-2025 03:24,54135,123,1515,436,923,Y
6845,Germany,politics,18-01-2025 10:41,11132,4874,1130,96,246,Y
4080,UK,sports,23-01-2025 08:59,83779,1868,893,6,891,Y
9428,Germany,tech,08-01-2025 00:37,13070,3490,1712,269,401,Y
1026,Canada,politics,11-01-2025 09:34,70827,2389,851,5,106,Y
6645,UK,sports,11-01-2025 00:51,96512,2346,1698,138,,N
8150,Canada,sports,22-01-2025 03:57,76949,1474,984,351,917,Y
6449,India,tech,02-01-2025 09:02,60041,1899,1732,483,284,Y
4729,Canada,finance,09-01-2025 10:44,16165,205,894,156,321,N
3022,UK,politics,23-01-2025 00:55,66896,109,1971,383,,Y
3421,Canada,finance,02-01-2025 23:04,80763,541,,427,879,
9533,UK,politics,15-01-2025 15:22,90597,3595,1906,71,85,Y
2384,USA,finance,15-01-2025 04:56,1885,1710,1871,394,569,Y
6693,USA,sports,20-01-2025 03:04,87432,2898,555,5,653,N
2029,Germany,sports,01-01-2025 04:49,73709,3318,1243,197,44,Y
9662,UK,tech,04-01-2025 09:51,86936,2818,,91,,Y
7889,Germany,tech,07-01-2025 09:57,35667,1448,39,479,182,N
5723,UK,finance,12-01-2025 00:17,61017,1654,1854,388,593,Y
6686,Canada,,21-01-2025 09:40,86221,2138,1070,122,841,N
2889,Canada,finance,17-01-2025 04:14,85106,2443,1736,,156,N
5969,USA,politics,11-01-2025 14:51,65663,1372,205,272,284,Y
3294,India,sports,11-01-2025 04:08,91790,3877,1606,297,237,N
4241,USA,tech,01-01-2025 22:52,60162,3473,638,444,526,Y
5460,Germany,politics,10-01-2025 00:22,29387,1676,151,468,569,
5175,Canada,finance,12-01-2025 22:18,4103,3923,409,396,784,Y
8191,India,finance,15-01-2025 11:42,73094,2225,410,237,170,Y
,Canada,sports,18-01-2025 21:28,3820,4227,14,45,108,N
2309,USA,sports,19-01-2025 02:27,52967,2048,1360,57,180,Y
3193,USA,finance,15-01-2025 01:10,30853,847,1877,204,534,
2366,India,tech,11-01-2025 14:46,33072,4881,1865,103,529,N
4151,Canada,finance,05-01-2025 09:30,71565,,,440,342,N
9209,India,finance,08-01-2025 16:57,9334,3646,1998,121,816,N
4185,Germany,sports,02-01-2025 08:14,84266,1269,1476,406,388,Y
9370,Germany,finance,21-01-2025 04:06,27912,2405,,247,728,N
6563,UK,tech,,92672,4545,465,13,,N
3041,USA,finance,12-01-2025 16:44,39116,741,1939,161,688,Y
7878,Canada,sports,17-01-2025 08:53,736,3798,861,17,17,Y
1211,USA,finance,10-01-2025 02:16,34585,3497,1921,350,373,Y
9534,India,tech,19-01-2025 20:05,26860,1045,608,116,698,N
8307,USA,politics,06-01-2025 08:47,23143,3794,1964,213,34,N
2723,USA,sports,20-01-2025 21:45,53508,3303,1870,366,611,Y
8656,India,politics,06-01-2025 12:42,66967,4223,117,106,78,N
9832,USA,politics,08-01-2025 00:04,73798,1404,1784,423,265,N
4260,Canada,,17-01-2025 20:17,98088,694,55,469,357,Y
9414,Germany,politics,19-01-2025 01:13,37334,592,,27,495,Y
1200,Germany,finance,19-01-2025 20:25,99157,3124,544,137,948,Y
3053,Canada,tech,23-01-2025 23:26,37259,1730,1365,0,144,Y
6433,Germany,finance,18-01-2025 03:12,81139,2365,1459,143,963,N
5426,Canada,politics,19-01-2025 08:42,79541,2131,1169,442,,N
5270,USA,politics,10-01-2025 00:15,94976,257,874,151,286,Y
6867,India,sports,23-01-2025 15:55,17674,4057,205,232,240,
6184,Germany,politics,02-01-2025 19:43,96671,2174,1082,174,259,N
4998,USA,politics,02-01-2025 13:17,45255,2993,482,200,84,N
4212,UK,finance,18-01-2025 14:25,20691,1610,1266,495,186,N
6002,,tech,22-01-2025 14:04,75239,1748,1934,118,754,Y
6497,Germany,,08-01-2025 14:15,42350,3070,1765,441,807,Y
5094,Germany,finance,10-01-2025 20:54,24109,1863,1923,257,559,Y
5029,UK,finance,22-01-2025 15:32,45624,3884,399,287,594,N
1943,Canada,politics,23-01-2025 20:32,31479,3237,741,208,883,N
1730,USA,finance,07-01-2025 23:07,62718,4283,1337,132,879,Y
1051,UK,finance,20-01-2025 06:24,32639,,234,12,724,N
4584,Canada,tech,07-01-2025 11:09,46002,4929,316,159,13,N
5395,USA,finance,05-01-2025 20:21,59318,522,1165,335,779,Y
8034,USA,politics,23-01-2025 17:57,49583,3353,245,487,139,N
2342,Germany,politics,03-01-2025 02:33,92371,4517,1414,239,362,N
4538,Germany,tech,04-01-2025 12:02,92141,2021,662,230,297,Y
4894,,finance,14-01-2025 13:39,87390,1613,1731,357,641,Y
4078,,tech,20-01-2025 15:22,80700,4356,247,201,320,N
3193,USA,sports,01-01-2025 22:32,73974,4713,664,408,730,Y
4041,India,politics,16-01-2025 16:41,3496,3043,338,217,181,N
7654,India,politics,21-01-2025 12:25,52918,291,1230,371,395,Y
4147,Canada,sports,04-01-2025 21:02,19853,4618,1861,,436,Y
6541,Canada,finance,21-01-2025 07:09,75313,431,92,410,628,Y
7688,India,tech,16-01-2025 21:25,28766,3273,1420,441,113,N
8096,Canada,finance,07-01-2025 03:29,8743,3084,1638,223,853,Y
4976,Germany,sports,19-01-2025 17:03,63537,2715,1026,477,600,N
8278,,tech,10-01-2025 01:05,70922,3773,245,483,764,N
2595,Germany,finance,07-01-2025 04:24,98538,3904,426,471,953,Y
8168,UK,,20-01-2025 12:53,69598,1239,1550,23,,N
5840,Germany,sports,10-01-2025 21:51,47885,333,1323,152,,Y
3135,UK,sports,01-01-2025 13:41,86379,2411,537,347,198,Y
9548,USA,sports,19-01-2025 04:53,88302,3717,601,434,441,Y
9131,UK,finance,06-01-2025 13:19,8420,2155,170,186,736,N
1491,Canada,politics,08-01-2025 10:37,28677,4909,1746,427,183,N
,Canada,politics,15-01-2025 22:33,53082,4102,936,228,868,N
4070,UK,politics,10-01-2025 10:51,85591,2367,1262,187,,Y
1468,Canada,politics,13-01-2025 05:45,31125,1062,1231,301,963,Y
5104,Canada,sports,07-01-2025 05:53,87066,1211,369,126,84,N
7850,Germany,finance,13-01-2025 11:17,79324,4475,,376,366,N
8447,USA,tech,09-01-2025 16:54,93254,4415,1352,256,272,Y
7113,UK,tech,17-01-2025 20:07,69201,361,558,461,594,N
2438,UK,politics,08-01-2025 15:16,76823,2597,1493,362,922,N
7355,Germany,politics,02-01-2025 17:58,6902,232,1356,138,536,N
7812,India,tech,16-01-2025 15:53,49373,3808,1791,128,43,Y
1207,UK,,18-01-2025 02:56,57676,4991,198,261,914,N
2930,India,sports,07-01-2025 01:39,53249,774,118,6,912,N
9123,India,tech,19-01-2025 19:37,55647,663,197,235,611,N
7659,Germany,sports,04-01-2025 18:16,25181,4211,885,247,917,N
3928,UK,tech,03-01-2025 11:12,44777,3154,1647,188,941,Y
4696,India,politics,10-01-2025 16:15,76064,2058,,274,283,Y
3534,USA,sports,04-01-2025 06:53,97642,1217,453,231,580,N
2780,India,politics,05-01-2025 07:32,78380,2713,800,79,730,Y
6483,Germany,politics,22-01-2025 01:27,41614,3456,639,392,827,Y
,Canada,sports,03-01-2025 23:30,6049,1354,1602,354,25,N
1175,India,finance,02-01-2025 06:52,55441,248,692,,433,Y
6032,Germany,finance,07-01-2025 18:13,,3242,1527,419,156,Y
4135,USA,finance,12-01-2025 14:17,98056,2413,1083,67,814,Y
8844,Canada,tech,04-01-2025 11:40,96489,4893,1329,471,315,Y
5462,Canada,finance,06-01-2025 11:16,86790,466,344,129,687,Y
3958,,politics,05-01-2025 04:26,62415,862,1187,120,436,
7953,USA,politics,22-01-2025 19:33,34075,4772,5,305,969,Y
8850,USA,sports,11-01-2025 07:36,7320,3943,203,101,158,Y
2644,USA,tech,15-01-2025 21:29,,1017,732,271,964,N
2699,Canada,finance,12-01-2025 05:57,18950,4270,1095,131,80,N
2992,UK,finance,14-01-2025 14:52,56041,3989,1878,15,666,N
6519,Germany,,17-01-2025 13:32,45581,1353,355,265,497,Y
9578,Germany,politics,13-01-2025 10:02,96022,244,544,249,641,Y
8974,USA,sports,07-01-2025 00:02,33576,3053,1962,473,106,N
6139,UK,finance,21-01-2025 23:13,78961,5,1618,240,980,
9807,Canada,tech,11-01-2025 15:58,19476,1813,1722,494,924,Y
,India,sports,10-01-2025 16:03,75931,152,35,159,927,Y
8499,USA,tech,23-01-2025 13:30,80771,3360,,425,,Y
6466,India,finance,24-01-2025 02:41,8662,3396,1544,17,42,Y
4580,Canada,finance,13-01-2025 04:48,39324,3778,705,235,233,Y
2254,Canada,tech,22-01-2025 23:30,66706,2355,1591,266,987,Y
2413,UK,politics,22-01-2025 22:03,92932,4257,993,393,,N
6506,USA,finance,01-01-2025 16:37,91402,2350,897,76,200,N
8226,UK,finance,21-01-2025 19:26,35386,510,1853,,861,Y
3240,UK,politics,08-01-2025 14:26,28367,2060,1918,225,832,
6382,,,20-01-2025 06:06,71185,1478,1262,341,66,N
1394,USA,tech,02-01-2025 01:13,91130,417,1392,110,957,
3976,USA,politics,22-01-2025 06:14,33931,2274,428,374,744,N
7531,,tech,09-01-2025 03:40,11233,386,1276,346,551,N
9669,Germany,politics,21-01-2025 22:58,20092,2825,547,427,631,N
9853,Germany,,01-01-2025 08:10,79425,,101,430,905,
8382,USA,finance,11-01-2025 05:16,20186,4365,812,73,559,N
2436,Germany,,18-01-2025 16:00,33491,337,399,268,535,N
8082,USA,politics,03-01-2025 06:25,575,576,174,152,971,Y
3837,USA,,08-01-2025 08:20,85610,4612,357,31,456,Y
1042,USA,sports,15-01-2025 17:35,41880,1739,735,122,446,Y
6230,UK,tech,05-01-2025 01:01,89936,948,,130,728,Y
8854,India,finance,05-01-2025 03:12,13257,4031,1637,371,672,N
1775,Germany,sports,11-01-2025 13:04,67122,3248,402,355,921,Y
3251,Canada,sports,15-01-2025 22:05,56790,3170,1623,221,915,Y
9861,Germany,tech,01-01-2025 07:41,2183,1497,1375,88,825,N
1764,,tech,02-01-2025 14:18,17155,101,1411,149,874,Y
5015,,finance,07-01-2025 14:17,62111,3612,1231,323,643,Y
5535,UK,politics,09-01-2025 06:03,83399,4462,,232,740,Y
5367,India,finance,18-01-2025 12:20,62833,250,1605,439,68,N
1441,UK,sports,04-01-2025 13:29,7628,3202,96,312,574,Y
,UK,sports,06-01-2025 02:19,59126,1566,510,371,922,Y
4092,UK,finance,23-01-2025 04:35,20666,492,979,81,681,N
6239,Germany,finance,05-01-2025 07:58,70479,1063,1846,386,324,N
1799,India,finance,07-01-2025 01:39,81409,3132,574,30,922,Y
8075,India,tech,04-01-2025 04:26,24214,3811,1304,416,714,N
3407,UK,politics,05-01-2025 17:58,38197,89,,495,856,Y
2960,UK,finance,01-01-2025 19:45,80226,1209,954,192,794,N
2237,USA,sports,22-01-2025 06:24,21013,,109,462,885,N
5162,UK,tech,,81358,4701,947,396,109,N
3467,India,finance,16-01-2025 16:54,18771,976,710,423,910,
,India,sports,24-01-2025 01:52,98761,3185,463,279,359,Y
5692,Germany,sports,14-01-2025 05:15,34425,1134,345,427,583,Y
1672,India,politics,13-01-2025 10:41,210,431,646,323,415,Y
8756,Germany,finance,21-01-2025 20:25,,,1376,407,495,N
1393,,finance,04-01-2025 11:34,44525,208,948,239,609,Y
5437,Canada,sports,09-01-2025 20:17,48452,2014,,431,24,Y
9705,India,finance,07-01-2025 11:39,35114,1600,1201,348,336,N
1674,UK,sports,15-01-2025 02:27,91764,4889,782,142,781,N
8078,Canada,tech,17-01-2025 23:33,21717,295,198,49,897,Y
3876,UK,sports,01-01-2025 21:37,70972,4658,1766,395,210,N
1148,Canada,finance,03-01-2025 10:22,92201,,375,368,114,Y
6380,Canada,finance,11-01-2025 10:14,56740,4393,581,12,503,N
2928,India,sports,08-01-2025 16:46,52687,1237,735,262,407,N
2740,Canada,tech,,82140,,393,49,976,Y
9647,USA,,01-01-2025 13:48,14383,512,602,153,21,Y
2130,Canada,tech,21-01-2025 07:12,30420,3998,1080,446,659,N
,Germany,politics,18-01-2025 03:50,89868,4171,1590,59,644,N
6192,UK,tech,,79140,586,499,122,985,N
7597,India,tech,15-01-2025 15:45,11720,1460,302,487,757,N
9250,USA,politics,19-01-2025 05:47,29360,17,1978,369,,Y
3634,UK,sports,14-01-2025 03:52,56177,4336,1205,163,864,N
5924,India,sports,21-01-2025 12:20,78549,3413,1418,10,653,Y
5194,Canada,finance,05-01-2025 22:01,,4535,1312,224,447,N
3834,Canada,politics,,32396,94,1613,483,753,Y
6014,India,finance,14-01-2025 10:18,42223,3518,1100,253,683,Y
2329,,sports,16-01-2025 14:03,61269,1963,1940,307,946,Y
8103,USA,sports,02-01-2025 00:05,87025,1240,1193,381,88,N
4872,USA,finance,10-01-2025 01:27,61988,584,851,43,748,N
,Canada,sports,03-01-2025 21:55,16175,4586,1912,261,502,N
8419,Germany,sports,04-01-2025 08:53,86297,1350,1758,277,288,N
4840,Canada,politics,13-01-2025 07:14,,4423,220,204,581,Y
9163,Canada,sports,11-01-2025 12:05,61354,4343,216,394,816,N
8784,UK,finance,05-01-2025 02:19,19025,2027,941,355,627,N
3241,,tech,18-01-2025 22:40,21952,3943,1056,355,229,Y
5743,India,sports,16-01-2025 20:35,10335,163,245,178,352,Y
1417,India,politics,04-01-2025 00:18,40034,1777,626,165,40,Y
4560,USA,finance,06-01-2025 08:34,86153,3202,128,218,576,N
3081,Germany,sports,,,30,498,272,210,Y
4520,India,tech,01-01-2025 01:11,64694,3316,990,216,372,N
5296,UK,politics,15-01-2025 16:31,55566,899,974,,417,N
2420,USA,,08-01-2025 13:52,97572,1153,244,227,78,Y
9293,USA,tech,08-01-2025 11:02,10958,4762,1044,88,751,N
6138,UK,politics,06-01-2025 04:17,109,647,,171,549,N
3139,India,politics,05-01-2025 12:23,45919,3770,1636,0,530,N
1774,USA,politics,03-01-2025 06:47,73105,858,507,397,346,N
4772,India,tech,20-01-2025 11:30,64308,4367,1390,497,878,Y
7700,USA,finance,04-01-2025 15:13,1937,91,425,,6,N
7719,Germany,tech,13-01-2025 11:42,84566,,1018,279,668,Y
3116,Canada,sports,07-01-2025 03:34,59727,4857,1804,391,180,Y
2926,USA,politics,02-01-2025 16:03,22816,1170,109,283,90,N
9445,UK,politics,01-01-2025 19:16,12070,4920,1217,240,594,N
8133,UK,finance,22-01-2025 19:58,33309,2527,1418,244,109,Y
4797,India,tech,17-01-2025 14:25,56088,,846,,173,N
1658,UK,tech,17-01-2025 05:40,98595,2739,1324,295,14,Y
,India,politics,16-01-2025 20:47,56365,4820,641,374,631,Y
7962,Canada,tech,08-01-2025 09:39,45809,395,,18,286,N
9819,UK,politics,,59596,804,346,303,872,N
8845,Canada,politics,20-01-2025 08:22,67934,296,1088,249,315,Y
5743,Germany,politics,19-01-2025 22:05,20589,2554,1455,289,110,Y
2177,India,sports,12-01-2025 22:35,98945,685,1047,438,522,N
5933,UK,politics,,97287,,1036,312,937,
8572,Canada,politics,05-01-2025 00:25,79681,1349,1580,68,347,N
5810,UK,finance,12-01-2025 01:42,37981,,807,62,354,Y
3582,Germany,tech,03-01-2025 14:15,98242,1275,205,395,768,Y
,USA,finance,05-01-2025 12:36,38688,2709,831,96,660,N
2424,India,tech,02-01-2025 06:13,79298,3173,1507,310,753,Y
9734,Canada,politics,22-01-2025 20:27,12931,4344,965,182,113,Y
,UK,tech,21-01-2025 21:46,27377,275,1087,291,728,N
5075,India,,11-01-2025 18:19,25021,1843,1067,409,603,N
8002,UK,sports,,47002,4136,1528,452,801,Y
2025,India,finance,08-01-2025 18:47,64071,2414,566,345,15,Y
6751,USA,politics,05-01-2025 09:14,52568,3792,21,447,117,N
7619,India,,21-01-2025 13:47,35513,3829,753,500,194,N
1180,USA,finance,01-01-2025 08:20,88093,4729,1064,492,983,Y
9497,UK,tech,18-01-2025 06:33,12418,4560,1497,219,118,N
9252,USA,tech,18-01-2025 20:27,67732,2275,966,77,234,Y
2119,India,sports,03-01-2025 03:38,50646,2175,421,360,571,N
1864,UK,tech,12-01-2025 06:16,50277,1977,881,243,665,Y
,UK,politics,01-01-2025 12:03,38114,3194,1692,465,957,Y
6845,India,sports,05-01-2025 06:47,57321,1155,1103,47,904,Y
5429,UK,finance,17-01-2025 23:56,25590,3615,892,493,766,Y
1667,India,politics,05-01-2025 18:41,60205,4806,1397,159,435,N
6422,Germany,finance,21-01-2025 19:47,991,2447,751,364,96,N
4531,USA,sports,16-01-2025 13:19,91534,1438,1036,383,483,N
8338,India,politics,07-01-2025 16:27,77289,99,1053,314,,Y
1795,USA,finance,04-01-2025 00:48,55457,657,1508,136,,Y
4455,USA,sports,10-01-2025 22:36,92977,4058,1851,92,128,Y
7679,USA,politics,12-01-2025 19:02,16979,85,376,222,653,Y
4299,Canada,finance,15-01-2025 13:59,14541,3878,858,421,407,Y
,USA,sports,20-01-2025 07:55,83100,3765,1309,317,595,N
9008,Germany,tech,13-01-2025 23:18,82299,4859,1718,159,746,N
6121,UK,tech,08-01-2025 08:01,47478,3411,521,74,859,Y
,USA,tech,01-01-2025 14:01,49848,3013,1006,276,720,Y
4239,USA,sports,15-01-2025 03:01,7306,4483,1427,21,62,
6903,UK,,07-01-2025 18:04,64376,1297,1830,168,357,Y
8674,Germany,sports,08-01-2025 02:55,61241,803,183,268,716,Y
3500,Germany,finance,20-01-2025 18:37,75772,4659,1111,392,147,N
7063,Canada,finance,13-01-2025 23:01,28916,4376,1380,8,604,N
5420,India,finance,17-01-2025 21:19,72691,1520,877,137,780,Y
2184,UK,politics,11-01-2025 01:26,13699,3590,1049,75,176,Y
2026,USA,finance,18-01-2025 03:41,63024,2116,1401,461,3,Y
1217,Canada,tech,01-01-2025 00:26,14391,290,623,168,906,Y
6053,India,politics,04-01-2025 00:41,,111,1416,276,13,N
,UK,politics,05-01-2025 12:45,23596,4656,,295,,N
6485,Canada,sports,19-01-2025 10:06,70568,2885,1475,43,291,Y
