tweet_id,user_id,tweet_text,timestamp,timestamp,likes,retweets,replies,impressions,engagement
T17732,7632,Good & Bad mixed!!!,ios,22-01-2025 01:43,3254,1806,939,945,1044
T38854,3791,Great product!!! #AI,api,07-01-2025 02:53,,885,348,1318,572
T35670,6093,Testing!!!@@@###,android,03-01-2025 17:35,3859,2375,626,2376,1179
T18453,9989,Love this!!! 😊,ios,07-01-2025 23:58,17929,964,754,752,344
,1770,,api,22-01-2025 22:48,4054,716,724,2287,563
T7280,6837,Spark > Hadoop ???,ios,21-01-2025 15:21,9451,109,428,2641,1396
T39827,9430,Worst service ever :(,ios,05-01-2025 07:18,,4602,136,2787,784
T36056,7163,Testing!!!@@@###,api,13-01-2025 23:35,2532,3005,146,1214,1090
T26591,3116,Worst service ever :(,android,24-01-2025 03:26,9302,1678,838,285,1191
T24671,9009,Null?? value??,api,13-01-2025 19:19,,1373,109,943,589
T33878,4957,Data pipeline broke @ midnight!!!,android,23-01-2025 16:52,4215,4196,256,461,1020
T29744,7574,Worst service ever :(,android,,10193,3010,58,1853,1465
T19885,9065,Testing!!!@@@###,android,02-01-2025 16:11,16971,4148,,456,1122
T6591,,Great product!!! #AI,android,19-01-2025 12:06,7752,3916,732,,1818
T34476,9686,Great product!!! #AI,ios,14-01-2025 23:12,9751,4340,437,2141,1759
T22708,6005,Testing!!!@@@###,api,16-01-2025 04:37,14412,2875,321,2134,1916
T19346,2828,Love this!!! 😊,web,10-01-2025 07:33,3639,3411,366,25,1345
T24892,5766,Love this!!! 😊,android,04-01-2025 08:10,13366,2396,21,371,1241
T11819,8945,Good & Bad mixed!!!,api,17-01-2025 17:46,7448,1605,440,127,1193
T19153,9144,Error###Detected,ios,17-01-2025 05:32,11465,957,921,508,183
T25694,2766,,api,23-01-2025 12:55,13667,4432,668,671,1267
T32216,5903,Error###Detected,web,01-01-2025 18:27,,4339,393,836,1615
T20984,3013,Streaming $$$ working,api,11-01-2025 07:47,,2690,733,434,280
T17022,2335,Error###Detected,,11-01-2025 01:39,18797,2539,888,167,242
T25755,1645,Great product!!! #AI,api,17-01-2025 17:55,19799,3564,124,341,490
T34532,,Testing!!!@@@###,api,09-01-2025 16:12,2727,890,189,1877,960
T5413,8617,Streaming $$$ working,android,12-01-2025 09:18,18472,656,230,2067,538
T7645,9983,Streaming $$$ working,web,09-01-2025 14:12,4191,4965,487,924,1109
T171,1699,Testing!!!@@@###,ios,23-01-2025 01:59,18246,341,247,2642,11
T28647,1162,Good & Bad mixed!!!,api,14-01-2025 15:30,10690,1236,919,941,487
T24071,3002,Good & Bad mixed!!!,web,06-01-2025 03:34,8634,4851,6,603,132
T20057,3847,Streaming $$$ working,ios,21-01-2025 04:02,3617,2134,262,1901,1754
T54,3067,Data pipeline broke @ midnight!!!,ios,02-01-2025 17:40,4100,3975,,1269,1307
T2448,9912,Spark > Hadoop ???,api,23-01-2025 10:43,11663,3194,709,,1674
T30596,5554,Streaming $$$ working,android,02-01-2025 11:08,1751,,28,1699,218
T6536,1509,,api,06-01-2025 12:51,8974,3165,194,2941,1200
T29582,4709,Great product!!! #AI,api,02-01-2025 02:29,18983,687,738,1527,1264
T27455,7919,Love this!!! 😊,api,18-01-2025 23:58,906,1656,264,1427,419
T24407,,Great product!!! #AI,android,21-01-2025 23:08,7181,3581,418,2172,1106
T28294,5085,Data pipeline broke @ midnight!!!,android,19-01-2025 05:21,10846,4891,855,2331,849
T2048,7600,Null?? value??,ios,17-01-2025 04:13,6183,4912,298,1546,163
T25575,,Streaming $$$ working,android,05-01-2025 13:25,13664,2188,574,2,120
T35427,3959,Streaming $$$ working,android,14-01-2025 02:54,5644,1840,401,68,136
T8875,1345,Data pipeline broke @ midnight!!!,ios,06-01-2025 21:05,2264,2329,782,34,1533
T19049,1977,,api,04-01-2025 12:44,12638,3717,798,597,1001
T34364,8470,Streaming $$$ working,ios,17-01-2025 23:40,3585,3597,,,330
T29465,6713,Love this!!! 😊,,06-01-2025 06:43,14315,3553,633,755,63
T18746,7424,Spark > Hadoop ???,ios,14-01-2025 18:30,,4940,729,679,960
T22237,6944,Error###Detected,web,09-01-2025 11:00,8651,4707,994,49,1453
T31723,9055,Love this!!! 😊,api,23-01-2025 05:10,327,4757,654,1333,581
T24475,4529,,android,04-01-2025 13:00,1339,911,710,361,354
T9669,1867,Data pipeline broke @ midnight!!!,android,09-01-2025 23:16,1409,3175,574,2758,394
T25260,8777,,web,06-01-2025 00:01,15204,4295,371,2420,1593
T17078,1104,Spark > Hadoop ???,ios,04-01-2025 10:44,16424,2957,148,900,1720
T17863,,Love this!!! 😊,web,17-01-2025 20:23,4518,3851,329,2000,558
T12485,1159,Worst service ever :(,web,19-01-2025 11:18,14395,1140,675,2045,1450
T12133,9772,Spark > Hadoop ???,ios,14-01-2025 16:34,13483,4556,609,491,709
T610,8923,Worst service ever :(,ios,22-01-2025 14:26,8005,4059,41,2504,1084
,2849,Streaming $$$ working,android,22-01-2025 19:42,3329,4795,123,1982,436
T2300,1915,Love this!!! 😊,api,16-01-2025 04:18,11991,1196,701,1766,1153
T13639,1837,Spark > Hadoop ???,android,19-01-2025 03:14,15183,,984,1478,1805
T33983,4395,Worst service ever :(,web,21-01-2025 21:04,18847,4460,845,2277,1480
T26069,1879,Worst service ever :(,api,10-01-2025 08:37,14579,1453,83,77,59
T450,9417,Spark > Hadoop ???,android,08-01-2025 15:20,8692,2094,965,367,1636
T37505,1119,Error###Detected,android,12-01-2025 19:20,8668,3086,443,2333,660
T38746,3191,Love this!!! 😊,android,22-01-2025 16:13,3131,1692,287,836,1715
T14022,8950,Streaming $$$ working,android,02-01-2025 12:40,83,2851,403,514,892
T19094,4610,Testing!!!@@@###,android,23-01-2025 02:26,14786,3677,197,199,1593
T11359,7151,Null?? value??,api,20-01-2025 19:01,1840,,721,653,772
T36675,6480,Worst service ever :(,android,,11720,1844,497,2511,49
T9519,2406,Error###Detected,web,17-01-2025 05:22,,4595,131,1639,1648
T20872,5954,Great product!!! #AI,ios,19-01-2025 18:52,2808,3418,156,1725,1703
T36975,8808,Good & Bad mixed!!!,api,22-01-2025 11:00,303,254,81,416,313
T17251,5518,Data pipeline broke @ midnight!!!,api,17-01-2025 22:54,10764,1932,17,74,661
T31450,,Spark > Hadoop ???,ios,20-01-2025 20:52,,2364,825,322,1183
T36454,8907,Good & Bad mixed!!!,android,15-01-2025 16:56,7313,2274,392,1464,1283
T38564,7369,,api,16-01-2025 12:19,11182,1524,90,464,1190
T26507,6465,Love this!!! 😊,web,18-01-2025 03:41,18376,292,207,231,121
T10612,1758,Data pipeline broke @ midnight!!!,api,18-01-2025 19:54,18797,3285,175,1955,1442
T18317,6096,Great product!!! #AI,android,15-01-2025 04:24,4358,737,114,1980,1879
T31587,9383,Love this!!! 😊,ios,12-01-2025 09:14,9593,,829,595,1213
T27514,3565,Data pipeline broke @ midnight!!!,web,17-01-2025 19:09,8072,126,49,1178,1760
T26540,2154,Error###Detected,android,16-01-2025 20:25,15418,2024,615,115,1770
T18568,3928,Spark > Hadoop ???,web,09-01-2025 07:42,10914,564,970,1592,
T24178,8051,Good & Bad mixed!!!,web,06-01-2025 14:41,,907,393,2136,1538
T6133,8381,Data pipeline broke @ midnight!!!,web,23-01-2025 14:07,18570,293,149,1236,1928
T16767,,Data pipeline broke @ midnight!!!,web,17-01-2025 01:12,15199,3185,952,1613,1952
T14272,3618,Testing!!!@@@###,ios,08-01-2025 02:18,18273,3704,559,1631,1474
T26018,8848,Love this!!! 😊,ios,13-01-2025 03:02,13236,2845,203,2706,1253
T16691,1381,Streaming $$$ working,ios,18-01-2025 19:15,5695,746,560,1266,341
T1907,6112,Testing!!!@@@###,android,10-01-2025 08:10,6672,4649,19,1280,1478
T38766,7158,Great product!!! #AI,ios,01-01-2025 19:43,6216,1285,991,33,
T18954,3702,Streaming $$$ working,android,02-01-2025 11:10,17383,3640,690,2404,
T12090,9595,Streaming $$$ working,web,12-01-2025 00:57,14572,2287,883,654,1505
T23336,8039,Streaming $$$ working,android,17-01-2025 02:28,11262,1721,347,2805,142
T5787,6670,Streaming $$$ working,ios,01-01-2025 11:03,1232,3550,984,362,595
T26550,3171,Data pipeline broke @ midnight!!!,ios,04-01-2025 16:51,5327,1781,139,989,1548
T23339,1327,Data pipeline broke @ midnight!!!,web,09-01-2025 04:01,3929,155,879,,1044
T35084,9899,Null?? value??,android,09-01-2025 05:45,5922,3921,692,2304,105
T3887,6718,Streaming $$$ working,web,21-01-2025 02:20,15632,4852,811,2900,1406
T1502,1201,Good & Bad mixed!!!,android,22-01-2025 01:03,18266,3545,258,1836,349
T28844,7262,,api,23-01-2025 20:42,13690,3287,875,201,1305
T9699,2720,Streaming $$$ working,web,03-01-2025 06:58,7637,3265,650,565,1536
T15845,8683,Streaming $$$ working,ios,18-01-2025 04:31,741,3378,414,1359,1419
,8274,,android,02-01-2025 12:39,2320,974,181,460,1044
T31097,7174,Love this!!! 😊,api,08-01-2025 03:37,11821,912,972,1317,50
T34356,1424,Streaming $$$ working,web,10-01-2025 14:17,,3565,65,2115,856
T36035,1996,Great product!!! #AI,web,08-01-2025 11:50,17232,313,18,375,1305
T13561,3018,Streaming $$$ working,api,10-01-2025 06:44,3681,3023,407,2148,40
T19922,3391,Love this!!! 😊,api,10-01-2025 00:47,8877,4362,981,2248,881
T29974,2098,Good & Bad mixed!!!,ios,11-01-2025 01:50,10313,3512,310,,580
T16677,9297,Null?? value??,web,11-01-2025 13:31,14558,,930,,1815
T21458,6987,Worst service ever :(,api,22-01-2025 09:26,2476,2351,775,1381,1344
T9924,7671,Worst service ever :(,android,15-01-2025 18:19,18601,3661,65,2452,1712
T27873,4764,Streaming $$$ working,ios,04-01-2025 03:26,16235,3559,481,1198,938
T24154,1706,Spark > Hadoop ???,,18-01-2025 10:19,7874,3120,132,2188,88
T26484,9851,Spark > Hadoop ???,web,15-01-2025 07:24,2952,2563,813,324,259
T39028,8382,Worst service ever :(,,08-01-2025 12:15,17601,1784,406,664,1884
T25529,2368,Testing!!!@@@###,ios,23-01-2025 10:54,2900,847,743,514,1772
T23305,1957,Great product!!! #AI,api,,8188,1411,992,170,1272
T4804,6810,Testing!!!@@@###,api,14-01-2025 03:26,3110,,194,617,1349
T23342,9439,Good & Bad mixed!!!,android,19-01-2025 06:24,16371,144,4,2338,1492
T33203,4066,Data pipeline broke @ midnight!!!,api,15-01-2025 11:48,14236,1076,0,1731,1061
T36642,4505,Null?? value??,ios,17-01-2025 12:48,11736,4710,258,2338,1796
T20910,6122,Worst service ever :(,web,13-01-2025 01:24,6390,2960,977,1179,443
T21472,,Good & Bad mixed!!!,ios,20-01-2025 04:23,15299,3973,826,1619,1063
,9025,Error###Detected,web,15-01-2025 13:16,5757,1041,629,531,1976
T36005,6702,Null?? value??,android,10-01-2025 20:47,8322,4558,210,1793,978
T3367,1152,Good & Bad mixed!!!,web,16-01-2025 05:52,8387,1530,450,2715,1221
T4153,3610,Testing!!!@@@###,api,15-01-2025 13:31,6507,4474,850,2168,1780
T36188,4917,Data pipeline broke @ midnight!!!,web,16-01-2025 07:09,15453,,448,2050,1800
T37036,4638,Worst service ever :(,web,19-01-2025 07:56,9897,287,753,1012,785
T28855,9104,Null?? value??,ios,11-01-2025 01:32,5688,2673,342,1492,
T11954,6918,Good & Bad mixed!!!,web,11-01-2025 15:08,14548,1680,860,2519,1536
T30788,5364,Streaming $$$ working,android,06-01-2025 08:59,11916,867,183,68,787
T23640,9581,,web,11-01-2025 04:01,11281,3639,109,561,344
T24826,7448,Love this!!! 😊,ios,13-01-2025 05:06,4238,1394,468,,1472
T18104,1508,Worst service ever :(,android,08-01-2025 21:52,15005,1825,207,1058,1658
T29209,2602,Good & Bad mixed!!!,api,06-01-2025 23:42,19294,2383,107,2144,
T2644,5182,Data pipeline broke @ midnight!!!,api,12-01-2025 16:49,14290,623,669,294,
T37859,9301,Streaming $$$ working,android,09-01-2025 16:57,18673,4037,949,1878,731
T34469,5852,Error###Detected,,11-01-2025 20:48,,1782,569,2625,678
T15615,4535,Great product!!! #AI,api,21-01-2025 11:51,2118,1613,228,2823,1525
T1643,7312,Great product!!! #AI,web,,18402,541,,54,1543
T22890,9056,Love this!!! 😊,ios,07-01-2025 15:31,12063,4190,926,285,317
T28080,7459,Testing!!!@@@###,api,05-01-2025 17:02,5427,3350,804,2324,
T35814,5370,Spark > Hadoop ???,,06-01-2025 01:35,12547,4807,553,1811,878
T3707,3272,Data pipeline broke @ midnight!!!,web,14-01-2025 18:57,17521,4446,672,741,1274
T32711,9109,Testing!!!@@@###,api,21-01-2025 08:27,13904,3861,70,327,692
T16537,8184,Great product!!! #AI,android,19-01-2025 17:10,15197,,910,96,851
T8571,,Error###Detected,ios,11-01-2025 16:11,18567,1116,210,1197,
T21666,7693,Good & Bad mixed!!!,ios,13-01-2025 12:32,18827,509,557,1589,58
T26417,6353,Worst service ever :(,api,15-01-2025 17:13,,283,7,813,1059
T13941,4304,Worst service ever :(,api,05-01-2025 01:01,9798,1822,355,,1784
T2694,,Worst service ever :(,android,06-01-2025 11:17,6835,3922,333,724,1397
T20507,,Streaming $$$ working,android,05-01-2025 09:36,409,158,587,2040,1379
T28758,6948,Data pipeline broke @ midnight!!!,web,21-01-2025 00:01,17371,2619,882,1342,794
T29804,7671,Testing!!!@@@###,api,22-01-2025 06:54,1588,2296,701,1027,1115
T27647,7226,Data pipeline broke @ midnight!!!,ios,15-01-2025 01:02,16172,1781,510,2054,138
T38437,8933,Good & Bad mixed!!!,api,01-01-2025 19:15,12977,1413,757,2209,1786
T13321,3362,Love this!!! 😊,api,01-01-2025 12:41,8477,2117,593,2832,855
T11975,7738,Data pipeline broke @ midnight!!!,web,15-01-2025 13:40,16812,2643,275,243,1651
T14061,9593,Great product!!! #AI,android,16-01-2025 15:48,10497,4795,,2505,1327
T9992,8799,Testing!!!@@@###,web,03-01-2025 22:36,6636,3520,717,2566,938
T11392,2200,Worst service ever :(,web,15-01-2025 07:28,8069,2349,675,1762,1329
T21860,7502,Data pipeline broke @ midnight!!!,web,02-01-2025 19:31,7697,12,24,473,1425
T7577,7205,Data pipeline broke @ midnight!!!,android,08-01-2025 13:12,11667,1037,279,1318,296
T22113,5859,Data pipeline broke @ midnight!!!,api,10-01-2025 14:29,14691,4877,933,1821,1947
T34579,6752,Spark > Hadoop ???,api,13-01-2025 09:01,2789,,13,1078,1691
T16759,5761,Streaming $$$ working,api,17-01-2025 04:31,9264,933,451,1165,
T24782,2445,Streaming $$$ working,android,06-01-2025 19:45,,1997,259,808,1444
T8880,6794,Great product!!! #AI,ios,09-01-2025 02:33,13176,4457,5,1434,1723
T11681,9720,,web,03-01-2025 04:04,6207,1132,986,1525,1991
T35431,3314,Spark > Hadoop ???,ios,06-01-2025 06:51,4297,3440,785,369,1807
T5535,4962,Great product!!! #AI,ios,04-01-2025 19:20,7234,3820,148,2518,1780
T16321,5391,Love this!!! 😊,ios,01-01-2025 21:30,5938,4152,650,1891,719
T1137,7579,Worst service ever :(,ios,13-01-2025 09:47,18180,1521,940,1543,251
T36548,2235,Love this!!! 😊,ios,19-01-2025 04:43,3429,1418,335,538,1880
T5191,2570,Streaming $$$ working,api,04-01-2025 16:31,18296,799,403,2486,1808
T23297,7253,Null?? value??,ios,06-01-2025 05:26,6459,,718,1090,960
T16799,5486,Testing!!!@@@###,web,18-01-2025 09:44,3162,2603,964,2997,1006
T38584,9462,Worst service ever :(,web,17-01-2025 21:40,19393,3610,265,1166,1418
T10449,4492,Worst service ever :(,web,22-01-2025 01:10,954,2337,,253,1099
T2576,6077,Streaming $$$ working,ios,13-01-2025 02:35,5887,1561,641,841,168
T31986,5248,Spark > Hadoop ???,android,05-01-2025 14:47,3708,2923,633,792,443
T5505,5006,Great product!!! #AI,web,17-01-2025 04:56,8326,3536,337,2842,1934
T16804,4892,,,11-01-2025 02:56,12575,2115,505,,606
T16934,4386,Testing!!!@@@###,web,03-01-2025 00:55,10274,337,317,138,310
T7791,4073,Testing!!!@@@###,,20-01-2025 05:17,7490,4563,518,943,24
T39352,5217,Spark > Hadoop ???,android,06-01-2025 12:07,5952,3170,348,83,1283
T29398,8044,Worst service ever :(,ios,06-01-2025 20:08,15340,2060,861,2283,967
T37306,9886,Streaming $$$ working,ios,03-01-2025 11:11,5187,4791,839,1196,781
T2136,4619,Streaming $$$ working,web,17-01-2025 09:25,15935,1641,276,1813,961
T1471,6455,Good & Bad mixed!!!,ios,02-01-2025 23:01,9508,,764,2657,1248
T31698,9527,Testing!!!@@@###,web,10-01-2025 08:08,7575,233,211,158,1960
T16076,4519,Great product!!! #AI,ios,,8604,4585,586,2357,178
T139,4158,,web,01-01-2025 11:38,,2518,252,45,1640
T25214,9906,Spark > Hadoop ???,android,20-01-2025 03:03,3244,2988,152,2475,1793
T13775,9376,Spark > Hadoop ???,android,07-01-2025 20:41,19531,1809,756,143,1085
T19881,9226,Error###Detected,web,17-01-2025 21:32,19780,36,264,322,1131
T23772,2245,Great product!!! #AI,ios,10-01-2025 21:19,19033,4762,,2322,383
T13116,3295,Data pipeline broke @ midnight!!!,web,19-01-2025 03:21,6909,1697,368,2472,1860
T23618,2950,Testing!!!@@@###,android,22-01-2025 19:51,3203,735,581,1090,645
T29966,5234,Great product!!! #AI,api,11-01-2025 13:34,11855,2880,320,780,1477
T644,6838,Error###Detected,web,,,3099,699,437,1288
T12461,3661,Testing!!!@@@###,web,18-01-2025 10:20,11507,2433,991,2686,1324
T13098,5125,Error###Detected,android,14-01-2025 04:12,7991,3113,223,1888,1589
T20137,6842,Spark > Hadoop ???,android,17-01-2025 06:43,4037,4942,656,1547,486
T4104,1579,Great product!!! #AI,android,18-01-2025 08:27,19362,2099,375,451,1194
T12679,1785,Error###Detected,api,19-01-2025 07:51,6253,659,207,637,1503
T3129,6615,Spark > Hadoop ???,api,22-01-2025 12:57,18831,3733,882,,201
,2449,Error###Detected,web,11-01-2025 22:04,,820,849,2476,1723
T18916,8485,Error###Detected,android,04-01-2025 04:34,11991,1135,113,1933,1323
T32693,5262,Spark > Hadoop ???,ios,13-01-2025 00:39,6186,2561,143,1335,1717
,2710,Great product!!! #AI,web,11-01-2025 01:16,616,3928,946,820,659
